user_id,churned,days_since_last_trip_x,days_since_last_session,trips_last_7_days,trips_last_30_days_x,trips_last_60_days,trips_last_90_days,monetary_total_x,monetary_avg,trips_lifetime,monetary_last_30d,days_since_last_trip_y,trips_last_30_days_y,monetary_total_y,recency_score,frequency_score,monetary_score,rfm_score_combined,avg_trip_duration,avg_fare,avg_surge,tip_rate,peak_hour_rate,weekend_ratio,rainy_ride_ratio,preferred_payment_encoded,avg_driver_rating_received,avg_driver_received,sessions_last_30d,sessions_last_60d,avg_time_on_app,avg_pages_visited,session_conversion_rate,engagement_score,account_age_days,r30,p30,activity_trend,activity_ratio,unique_active_days,was_referred,avg_rating_given,loyalty_encoded,city_encoded
R00000,0,25,0.0,0,1,1,3,414.13,16.57,25,16.31,25,1,414.13,2,1,4,7,30.32,14.64,1.1,0.4,0.2,0.16,0.16,0,4.252,4.252,4.0,4.0,92.0,3.0,0.25,276.0,93,1.0,0.0,1.0,1.0,25,1,5.0,0,0
R00001,1,5,0.0,1,2,3,3,195.69,13.98,14,26.830000000000002,5,2,195.69,4,3,1,8,28.64,12.9,1.07,0.21,0.21,0.29,0.0,0,4.136,4.136,3.0,3.0,174.67,2.67,0.0,466.37,230,2.0,1.0,1.0,2.0,13,0,4.7,0,0
R00002,1,14,0.0,0,1,4,5,482.94,20.12,24,14.9,14,1,482.94,3,1,5,9,31.54,15.79,1.19,0.21,0.38,0.12,0.25,0,4.15,4.15,3.0,3.0,191.0,3.0,0.0,573.0,232,1.0,3.0,-2.0,0.33,22,0,4.2,0,1
R00004,0,12,0.0,0,2,2,5,391.15,24.45,16,45.718,12,2,391.15,3,3,3,9,36.12,16.78,1.26,0.44,0.25,0.44,0.25,0,4.156,4.156,2.0,2.0,17.0,2.5,0.0,42.5,250,2.0,0.0,2.0,2.0,16,1,3.9,1,1
R00005,0,2,0.0,1,2,2,4,300.63,15.82,19,24.66,2,2,300.63,5,3,2,10,30.42,14.44,1.07,0.21,0.37,0.11,0.05,0,4.068,4.068,6.0,6.0,30.33,1.67,0.17,50.65,657,2.0,0.0,2.0,2.0,19,0,5.0,0,1
R00006,0,67,0.0,0,0,0,2,246.4,17.6,14,0.0,67,0,246.4,1,1,1,3,31.5,14.22,1.13,0.71,0.71,0.36,0.29,0,4.243,4.243,5.0,5.0,52.0,3.0,0.6,156.0,619,0.0,0.0,0.0,0.0,14,1,4.4,2,1
R00007,0,19,0.0,0,1,3,5,506.68,26.67,19,24.888,19,1,506.68,2,1,5,8,37.32,19.27,1.18,0.37,0.47,0.32,0.32,0,4.279,4.279,5.0,5.0,246.8,2.8,0.0,691.04,715,1.0,2.0,-1.0,0.5,18,0,4.9,0,0
R00009,0,80,0.0,0,0,0,1,430.73,30.77,14,0.0,80,0,430.73,1,1,4,6,33.93,18.11,1.38,0.43,0.5,0.07,0.29,0,4.064,4.064,3.0,3.0,22.0,3.33,0.0,73.26,666,0.0,0.0,0.0,0.0,13,0,4.6,0,1
R00010,0,0,0.0,1,6,10,13,519.21,16.75,31,79.61500000000001,0,6,519.21,5,5,5,15,34.16,14.44,1.09,0.32,0.35,0.45,0.19,0,4.132,4.132,4.0,4.0,87.75,4.0,0.25,351.0,362,6.0,4.0,2.0,1.5,30,0,4.3,0,0
R00012,0,21,0.0,0,2,4,5,385.83,16.78,23,23.52,21,2,385.83,2,3,3,8,34.13,14.3,1.12,0.52,0.3,0.35,0.3,0,4.343,4.343,4.0,4.0,18.0,2.0,0.75,36.0,547,2.0,2.0,0.0,1.0,23,0,4.6,2,2
R00013,0,47,0.0,0,0,1,3,247.54,17.68,14,0.0,47,0,247.54,1,1,1,3,34.21,16.21,1.04,0.29,0.07,0.36,0.07,0,4.329,4.329,6.0,6.0,160.0,3.0,0.0,480.0,665,0.0,1.0,-1.0,0.0,13,0,4.2,0,2
R00014,0,4,0.0,1,4,6,9,513.31,17.7,29,74.67399999999999,4,4,513.31,5,5,5,15,30.69,14.75,1.14,0.28,0.31,0.34,0.21,0,4.303,4.303,3.0,3.0,29.0,3.67,0.0,106.43,602,4.0,2.0,2.0,2.0,27,0,5.0,0,0
R00015,0,6,0.0,1,2,4,6,528.44,20.32,26,19.36,6,2,528.44,4,3,5,12,30.08,15.6,1.16,0.58,0.27,0.27,0.23,0,4.085,4.085,9.0,9.0,120.44,1.67,0.22,201.13,102,2.0,2.0,0.0,1.0,25,1,5.0,2,0
R00016,0,21,0.0,0,1,4,7,353.07,17.65,20,12.36,21,1,353.07,2,1,3,6,33.65,15.45,1.03,0.8,0.3,0.35,0.1,0,4.1,4.1,1.0,1.0,88.0,5.0,1.0,440.0,358,1.0,3.0,-2.0,0.33,20,1,3.9,2,0
R00017,0,3,0.0,1,3,6,8,356.19,18.75,19,54.6,3,3,356.19,5,4,3,12,35.42,15.13,1.14,0.53,0.32,0.21,0.11,0,4.147,4.147,6.0,6.0,26.67,2.83,0.33,75.48,726,3.0,3.0,0.0,1.0,19,0,4.2,2,1
R00020,0,3,0.0,1,2,4,7,381.77,20.09,19,32.8,3,2,381.77,5,3,3,11,27.16,16.74,1.12,0.37,0.37,0.16,0.16,0,4.089,4.089,7.0,7.0,165.29,2.71,0.0,447.94,648,2.0,2.0,0.0,1.0,19,1,4.9,0,2
R00021,0,10,0.0,0,1,1,2,216.67,14.44,15,8.6,10,1,216.67,3,1,1,5,38.47,13.35,1.03,0.33,0.27,0.2,0.07,0,4.113,4.113,2.0,2.0,136.5,3.5,0.0,477.75,256,1.0,0.0,1.0,1.0,15,0,4.9,0,2
R00022,0,14,0.0,0,4,5,7,296.03,16.45,18,68.14,14,4,296.03,3,5,2,10,36.06,14.39,1.11,0.44,0.28,0.22,0.28,0,4.278,4.278,4.0,4.0,82.0,2.75,0.0,225.5,87,4.0,1.0,3.0,4.0,17,0,4.7,0,1
R00023,0,12,0.0,0,2,4,4,358.22,16.28,22,20.972,12,2,358.22,3,3,3,9,32.36,14.13,1.09,0.36,0.41,0.23,0.18,0,4.236,4.236,3.0,3.0,81.0,3.0,0.0,243.0,224,2.0,2.0,0.0,1.0,22,1,4.6,0,1
R00025,0,2,0.0,1,1,2,2,241.17,18.55,13,18.35,2,1,241.17,5,1,1,7,32.46,15.85,1.12,0.23,0.23,0.15,0.31,0,3.985,3.985,7.0,7.0,147.14,3.0,0.0,441.42,551,1.0,1.0,0.0,1.0,13,1,3.8,0,2
